id,title,description,priority,acceptance_criteria
CA-REQ-001,Code Indexing Engine,"The system must index source code repositories using tree-sitter AST parsing to extract symbols (functions, classes, modules, files) and their relationships (calls, imports, contains).",Critical,Repository clone and indexing completes without error;Symbols extracted for Go Python TypeScript Java Rust;Call graph relationships stored in SurrealDB;Re-indexing on git push updates only changed files
CA-REQ-002,Multi-Language Support,"The indexer must support Go, Python, TypeScript/JavaScript, Java, and Rust via tree-sitter grammars.",High,Go files parsed with correct function and struct extraction;Python files parsed with class and function extraction;TypeScript files parsed with interface and function extraction;Java files parsed with class and method extraction;Rust files parsed with struct impl and function extraction
CA-REQ-003,SurrealDB Graph Storage,"All code metadata (symbols, relationships, requirements, links) must be stored in SurrealDB using a graph model with record IDs.",Critical,Repositories stored with org ownership;Files linked to repositories;Symbols linked to files with line ranges;Relationships stored as graph edges;CBOR protocol used for Go SDK
CA-REQ-004,GraphQL API,"The system must expose a GraphQL API for querying repositories, symbols, requirements, and traceability links.",Critical,Query repositories with nested files and symbols;Query requirements with linked code entities;Mutation to add repository by git URL;Mutation to import requirements from CSV or Markdown;Mutation to create and verify manual links
CA-REQ-005,REST Health and Metrics,"The API server must expose REST endpoints for health checks, readiness probes, and Prometheus metrics.",High,GET /healthz returns 200 when server is running;GET /readyz checks SurrealDB connectivity and worker gRPC health;GET /metrics returns real Prometheus instrumentation data
CA-REQ-006,JWT Authentication,"Users must authenticate via JWT tokens with secure cookie-based sessions for the web UI and Bearer tokens for API clients.",Critical,Login endpoint issues JWT with configurable expiry;Cookies are HttpOnly Secure SameSite Lax;Bearer token auth for CLI and extension;Admin password persisted to SurrealDB not lost on restart
CA-REQ-007,CSRF Protection,"All cookie-authenticated mutations must be protected against CSRF attacks via double-submit cookie pattern.",High,Double-submit cookie pattern with X-CSRF-Token header;Bearer token API clients are exempt from CSRF;GET /api/v1/csrf-token returns token and sets sourcebridge_csrf cookie;GraphQL mutations from browser require valid CSRF token
CA-REQ-008,Requirement Import from CSV,"Users must be able to import requirements from CSV files with columns: id, title, description, priority, acceptance_criteria.",High,CSV parsed with configurable column mapping;Rows with missing id or title are skipped;Acceptance criteria split on semicolons;Requirements stored in SurrealDB with source metadata;Deduplication by external ID on re-import
CA-REQ-009,Requirement Import from Markdown,"Users must be able to import requirements from structured Markdown documents with ## headings.",High,Markdown headings parsed as requirement titles via regex;Body text parsed as descriptions;Priority extracted from bold metadata pattern;Acceptance criteria parsed from bullet lists;Requirements stored with source file reference
CA-REQ-010,LLM-Powered Code Summarization,"The system must generate natural language summaries of functions, files, and modules using an LLM provider.",High,Summaries generated for individual functions with purpose inputs outputs dependencies risks;Summaries generated for files with function context;Summaries generated for modules with file context;Results cached by content hash to avoid redundant LLM calls;Circuit breaker prevents cascading failures on LLM timeout
CA-REQ-011,Code Review Engine,"The system must perform structured code reviews across five dimensions: Security, SOLID, Performance, Reliability, Maintainability.",High,Review covers all five dimensions with specific findings;Each finding includes category severity message file_path start_line end_line and suggestion;Review results stored and retrievable via GraphQL;Reviews can be triggered from web UI and VS Code;Review score 0-10 returned per template
CA-REQ-012,Code Discussion,"Users must be able to ask contextual questions about selected code and receive AI-powered answers with references.",Medium,User selects code and types a question;AI response includes answer text and code references;Related requirement IDs identified in response;Discussion accessible from web UI and VS Code;Discussion results include model and token usage
CA-REQ-013,Code Explanation,"The system must explain what a selected code entity does in plain language markdown.",Medium,Explanation generated for any symbol in the index;Response is markdown describing purpose logic and edge cases;Results cached for repeat queries
CA-REQ-014,Relationship Explanation,"The system must explain the relationship between two code entities or between a requirement and code.",Medium,ExplainRelationship RPC accepts two entity references;Response describes how the entities interact;Explanation available via GraphQL query
CA-REQ-015,Semantic Requirement-to-Code Linking,"The system must automatically link requirements to code entities using embedding-based semantic similarity.",High,Embeddings generated for requirements and code symbols;Cosine similarity used to rank candidate matches;Confidence scores capped at 0.85 for semantic-only links;Links surfaced for human verification;Configurable similarity threshold with 0.6 default
CA-REQ-016,Comment-Based Linking,"The system must detect requirement references in code comments matching patterns like REQ-001 or ENG-42.",High,Regex patterns detect UPPERCASE-DIGITS ID formats in comments;Links created with 0.95 confidence for exact matches;Comment links include file and line reference;Language-aware comment line detection for multiple syntaxes
CA-REQ-017,Reference-Based Linking,"The system must detect requirement references in commit messages, branch names, and changed code entities.",Medium,Commit messages scanned for requirement ID patterns;Branch name scanned for requirement ID patterns;Links created at 0.7 confidence when entities provided;Placeholder links at 0.5 confidence when no entities specified
CA-REQ-018,Test Correlation Linking,"The system must correlate test functions with requirement IDs found in test names and docstrings.",Medium,Test function names scanned for REQ-NNN and UPPERCASE-DIGITS patterns;TestReqNNN normalized to REQ-NNN format;Doc comments scanned for direct ID references;Links created with 0.85 confidence and TEST link type
CA-REQ-019,Link Confidence Scoring and Multi-Signal Boost,"All automated links must have confidence scores with multi-signal boosting when multiple link types agree.",High,Confidence scores range from 0.0 to 1.0;Links deduplicated by requirement-entity pair keeping highest confidence;Multi-signal boost of 0.03 to 0.08 when 2 or more sources agree;Combined rationale shows all contributing sources;COMMENT plus SEMANTIC boost is 0.05
CA-REQ-020,Human Link Verification,"Users must be able to verify, reject, or manually create requirement-to-code links.",High,Verify action marks link as human-confirmed with confidence set to 1.0;Reject action marks link as rejected and excluded from active view;Manual link creation specifies requirement and symbol with confidence 1.0;Verification publishes event via SSE;Verification status visible in traceability matrix
